                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5314,                  5.937,                 1.5697,                0.57465,                0.39924,                 0.4313,                0.27348,                 1.3441,                 4.1471,                 1.5036,               9.57e-05,               9.57e-05,               9.57e-05
                      2,                 1.3445,                  2.189,                 1.4063,                0.64829,                0.66373,                0.72703,                0.47697,                 1.3073,                 1.9581,                   1.47,             0.00019556,             0.00019556,             0.00019556
                      3,                 1.2874,                 1.5966,                 1.3605,                0.82248,                0.68658,                0.80201,                0.52689,                 1.2824,                 1.1982,                 1.4612,             0.00029521,             0.00029521,             0.00029521
                      4,                 1.2488,                 1.3102,                 1.3129,                0.76858,                0.71223,                0.80592,                0.51789,                 1.2539,                0.99083,                 1.3862,             0.00039467,             0.00039467,             0.00039467
                      5,                  1.221,                 1.1424,                 1.2941,                0.78602,                0.78947,                0.85488,                0.54529,                 1.2437,                 0.8422,                 1.3801,             0.00043328,             0.00043328,             0.00043328
                      6,                 1.2248,                 1.0269,                 1.3125,                0.87348,                0.79641,                0.88049,                0.55903,                 1.2624,                0.75255,                 1.3976,             0.00043328,             0.00043328,             0.00043328
                      7,                 1.2093,                0.95201,                 1.2978,                0.88132,                0.80999,                0.88324,                0.58378,                 1.2608,                0.70221,                 1.4296,             0.00043285,             0.00043285,             0.00043285
                      8,                 1.1723,                0.86033,                 1.2602,                0.92914,                0.72909,                0.89035,                0.59142,                 1.2381,                0.69206,                 1.4045,             0.00043242,             0.00043242,             0.00043242
                      9,                 1.1611,                0.81035,                 1.2657,                0.84926,                0.82915,                0.89385,                0.57309,                 1.2446,                0.66453,                 1.3901,             0.00043199,             0.00043199,             0.00043199
                     10,                 1.1585,                0.81606,                 1.2594,                0.90436,                0.79845,                0.87123,                0.57416,                 1.2229,                0.66798,                 1.3793,             0.00043155,             0.00043155,             0.00043155
                     11,                 1.1489,                0.77298,                 1.2575,                0.84411,                0.89381,                0.92313,                0.60671,                 1.2059,                0.64563,                 1.3586,             0.00043112,             0.00043112,             0.00043112
