                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     12,                 1.1306,                0.73296,                 1.2522,                0.85196,                0.82961,                0.89427,                 0.5869,                 1.2365,                0.64387,                 1.4004,             0.00043069,             0.00043069,             0.00043069
                     13,                 1.1348,                0.70572,                 1.2389,                0.84654,                0.87683,                0.89974,                0.60152,                  1.209,                0.60966,                 1.3781,             0.00043026,             0.00043026,             0.00043026
                     14,                 1.1137,                0.69375,                  1.227,                0.91078,                0.84329,                0.92311,                0.60312,                 1.2214,                0.61052,                 1.4035,             0.00042983,             0.00042983,             0.00042983
                     15,                 1.0996,                0.68078,                 1.2254,                  0.903,                0.84653,                0.93682,                0.60953,                 1.2308,                0.58367,                  1.373,              0.0004294,              0.0004294,              0.0004294
                     16,                 1.0814,                0.64876,                 1.2197,                0.85709,                0.87351,                0.90168,                0.60356,                 1.2198,                 0.5939,                 1.3537,             0.00042897,             0.00042897,             0.00042897
                     17,                 1.0847,                0.64169,                 1.2141,                0.87522,                 0.8728,                0.92711,                0.62142,                 1.2196,                0.61095,                 1.3745,             0.00042854,             0.00042854,             0.00042854
                     18,                  1.071,                0.65843,                 1.2061,                0.87943,                0.84485,                0.90258,                0.60436,                   1.22,                0.60832,                 1.3764,             0.00042811,             0.00042811,             0.00042811
                     19,                 1.0836,                 0.6323,                 1.2124,                0.91028,                0.82541,                0.91645,                0.60953,                 1.2201,                0.60045,                 1.3729,             0.00042768,             0.00042768,             0.00042768
                     20,                 1.0507,                0.61423,                 1.1801,                0.88774,                0.87273,                0.93464,                0.61078,                 1.2146,                0.60685,                 1.3671,             0.00042725,             0.00042725,             0.00042725
                     21,                 1.0421,                0.60461,                 1.1919,                0.90831,                0.85668,                0.93061,                0.63285,                 1.1917,                0.56297,                 1.3477,             0.00042682,             0.00042682,             0.00042682
                     22,                 1.0244,                0.59659,                 1.1836,                0.91075,                0.80644,                0.91666,                0.62218,                 1.1805,                0.57141,                 1.3481,             0.00042639,             0.00042639,             0.00042639
                     23,                 1.0116,                0.59314,                 1.1809,                0.91872,                0.86182,                0.93037,                0.60169,                 1.2451,                 0.5923,                 1.3945,             0.00042596,             0.00042596,             0.00042596
                     24,                 1.0075,                0.57301,                 1.1573,                0.85619,                0.86264,                0.91638,                0.60258,                 1.2051,                0.57428,                 1.3645,             0.00042553,             0.00042553,             0.00042553
                     25,                  1.008,                0.57577,                 1.1569,                0.87417,                0.88464,                0.93312,                0.62324,                 1.2112,                 0.5949,                 1.3513,              0.0004251,              0.0004251,              0.0004251
                     26,                 1.0099,                0.58037,                 1.1639,                0.86664,                0.90061,                0.93244,                0.62163,                 1.2053,                0.55369,                 1.3483,             0.00042466,             0.00042466,             0.00042466
                     27,                 1.0156,                0.57495,                 1.1861,                0.83331,                0.91841,                0.92739,                0.62154,                 1.2173,                0.54884,                 1.3483,             0.00042423,             0.00042423,             0.00042423
                     28,                 1.0082,                0.56685,                 1.1669,                0.90451,                0.89315,                0.94583,                0.62916,                 1.1963,                0.54294,                 1.3555,              0.0004238,              0.0004238,              0.0004238
                     29,                0.96419,                0.55198,                 1.1445,                0.91708,                 0.8818,                0.95241,                0.63431,                 1.1808,                0.55011,                 1.3403,             0.00042337,             0.00042337,             0.00042337
                     30,                0.97629,                0.55261,                 1.1666,                0.88102,                0.83122,                0.89882,                0.60201,                 1.2171,                0.57098,                 1.3675,             0.00042294,             0.00042294,             0.00042294
                     31,                 0.9753,                 0.5456,                 1.1515,                0.87223,                0.86504,                0.90337,                0.61078,                  1.206,                0.54805,                 1.3561,             0.00042251,             0.00042251,             0.00042251
                     32,                0.94939,                0.53665,                 1.1365,                0.86835,                0.86069,                 0.9131,                 0.5988,                 1.2088,                0.55371,                 1.3795,             0.00042208,             0.00042208,             0.00042208
                     33,                0.94447,                0.52756,                 1.1408,                0.90206,                0.87488,                0.94437,                0.60416,                  1.206,                0.55339,                 1.3609,             0.00042165,             0.00042165,             0.00042165
                     34,                0.94589,                 0.5288,                 1.1262,                0.92663,                0.85914,                0.93721,                0.61744,                 1.2067,                0.55831,                 1.3532,             0.00042122,             0.00042122,             0.00042122
                     35,                0.94495,                0.52698,                 1.1481,                0.89783,                0.87132,                0.93924,                 0.6287,                   1.21,                0.54575,                 1.3527,             0.00042079,             0.00042079,             0.00042079
                     36,                0.94035,                0.52452,                 1.1234,                0.89369,                0.87841,                0.92925,                0.61039,                 1.2151,                0.56098,                 1.3718,             0.00042036,             0.00042036,             0.00042036
                     37,                0.90636,                0.50656,                 1.1149,                0.88066,                0.93255,                0.93995,                0.62228,                 1.2054,                0.54893,                 1.3647,             0.00041993,             0.00041993,             0.00041993
                     38,                0.91994,                0.51915,                 1.1125,                0.89126,                0.88288,                0.93383,                0.61237,                 1.2113,                0.58414,                 1.3729,              0.0004195,              0.0004195,              0.0004195
                     39,                0.89502,                 0.5048,                 1.1056,                0.92187,                 0.8573,                0.92409,                0.61464,                 1.2296,                0.55429,                 1.4095,             0.00041907,             0.00041907,             0.00041907
                     40,                0.89902,                  0.506,                 1.1131,                0.88918,                0.88323,                0.92016,                0.60444,                 1.2213,                0.55688,                 1.3945,             0.00041864,             0.00041864,             0.00041864
                     41,                0.88787,                0.50136,                 1.1034,                0.92613,                 0.8839,                0.92959,                0.60526,                 1.2109,                0.55226,                 1.3936,              0.0004182,              0.0004182,              0.0004182
                     42,                0.89685,                0.50867,                 1.1034,                0.91478,                0.82105,                0.91425,                0.60753,                 1.2288,                0.57064,                 1.3963,             0.00041777,             0.00041777,             0.00041777
                     43,                0.90003,                 0.5044,                 1.1069,                0.86836,                0.88095,                0.93027,                0.61732,                  1.218,                 0.5445,                 1.3776,             0.00041734,             0.00041734,             0.00041734
                     44,                0.88279,                0.49078,                  1.079,                0.94556,                0.86501,                0.95443,                0.64207,                 1.2141,                0.53617,                 1.3813,             0.00041691,             0.00041691,             0.00041691
                     45,                0.84874,                0.48118,                  1.077,                0.86715,                0.93108,                0.94518,                0.63443,                 1.2009,                0.50577,                 1.3633,             0.00041648,             0.00041648,             0.00041648
                     46,                0.86652,                0.48149,                 1.0877,                0.89657,                0.86016,                0.92838,                0.62469,                 1.1826,                 0.5182,                 1.3671,             0.00041605,             0.00041605,             0.00041605
                     47,                0.86399,                0.47912,                 1.0815,                0.88919,                0.91855,                0.95577,                0.63438,                 1.2112,                0.55095,                 1.3886,             0.00041562,             0.00041562,             0.00041562
                     48,                0.85608,                0.47198,                 1.0892,                0.88844,                0.87993,                0.94958,                0.63024,                 1.2122,                0.56184,                 1.3939,             0.00041519,             0.00041519,             0.00041519
                     49,                0.84806,                0.47534,                  1.082,                0.89586,                0.91343,                0.96035,                0.63318,                 1.2466,                0.54872,                 1.4089,             0.00041476,             0.00041476,             0.00041476
                     50,                0.81824,                 0.4612,                 1.0669,                0.90383,                0.89575,                0.94857,                0.63066,                  1.231,                0.54179,                 1.4021,             0.00041433,             0.00041433,             0.00041433
                     51,                0.85115,                0.47925,                 1.0881,                0.90851,                0.86286,                 0.9317,                0.63003,                 1.2375,                0.56293,                  1.399,              0.0004139,              0.0004139,              0.0004139
                     52,                0.83351,                0.47691,                 1.0768,                0.84607,                0.88544,                0.93421,                0.62376,                 1.2516,                0.54631,                 1.4314,             0.00041347,             0.00041347,             0.00041347
                     53,                0.83651,                0.47083,                 1.0797,                0.93064,                0.84358,                 0.9294,                0.62073,                  1.238,                0.55424,                 1.4151,             0.00041304,             0.00041304,             0.00041304
                     54,                0.82381,                0.46938,                  1.073,                0.89629,                0.88718,                0.93505,                0.62225,                 1.2468,                0.54815,                 1.4045,             0.00041261,             0.00041261,             0.00041261
                     55,                0.81702,                0.45892,                  1.063,                0.87573,                0.91758,                0.94576,                0.62473,                 1.2528,                 0.5523,                 1.4136,             0.00041218,             0.00041218,             0.00041218
                     56,                0.81156,                0.46629,                 1.0602,                0.92201,                0.88581,                0.93086,                0.61677,                 1.2061,                0.54449,                 1.3845,             0.00041174,             0.00041174,             0.00041174
                     57,                0.82427,                0.46615,                 1.0599,                0.86445,                0.89788,                0.91054,                0.61591,                  1.206,                0.53067,                 1.3773,             0.00041131,             0.00041131,             0.00041131
                     58,                 0.8188,                0.46316,                 1.0806,                0.90149,                0.88551,                0.91251,                 0.6151,                 1.1952,                0.53039,                 1.3701,             0.00041088,             0.00041088,             0.00041088
                     59,                0.79202,                 0.4478,                 1.0607,                0.92161,                0.88812,                0.92851,                0.61012,                 1.2001,                0.55121,                 1.3636,             0.00041045,             0.00041045,             0.00041045
                     60,                0.80932,                0.46097,                 1.0681,                 0.9026,                0.90881,                 0.9511,                0.61946,                 1.2277,                0.54406,                 1.4032,             0.00041002,             0.00041002,             0.00041002
                     61,                0.77948,                0.44616,                 1.0497,                0.91872,                0.88457,                0.92846,                0.61742,                 1.2113,                 0.5369,                 1.4076,             0.00040959,             0.00040959,             0.00040959
                     62,                0.80175,                0.44872,                 1.0575,                0.89732,                0.89647,                0.92686,                0.61341,                  1.219,                0.53888,                 1.4109,             0.00040916,             0.00040916,             0.00040916
                     63,                0.78884,                0.44309,                 1.0579,                0.91631,                0.88281,                0.92642,                0.61421,                 1.2172,                0.51684,                 1.3987,             0.00040873,             0.00040873,             0.00040873
                     64,                0.78684,                0.44351,                 1.0595,                0.89452,                0.89393,                0.92095,                0.61679,                 1.2447,                0.54096,                 1.4259,              0.0004083,              0.0004083,              0.0004083
                     65,                0.77706,                0.43695,                 1.0434,                0.93545,                0.86736,                0.92133,                0.61057,                  1.247,                0.53864,                 1.4345,             0.00040787,             0.00040787,             0.00040787
                     66,                0.77417,                0.43832,                 1.0428,                0.89023,                0.90612,                0.94963,                0.63135,                 1.2227,                0.53434,                  1.416,             0.00040744,             0.00040744,             0.00040744
                     67,                0.74879,                0.42508,                 1.0251,                0.91029,                0.92841,                0.95702,                0.63565,                 1.2334,                0.52717,                 1.4163,             0.00040701,             0.00040701,             0.00040701
                     68,                0.76548,                0.43356,                 1.0494,                0.89867,                 0.8964,                0.91463,                0.60036,                 1.2496,                0.53906,                 1.4361,             0.00040658,             0.00040658,             0.00040658
                     69,                0.74849,                0.42697,                 1.0323,                0.88988,                 0.8783,                0.91638,                0.61554,                 1.2435,                0.53945,                 1.4395,             0.00040615,             0.00040615,             0.00040615
                     70,                0.78329,                0.43535,                 1.0436,                0.89936,                0.90314,                0.91951,                0.62313,                 1.2295,                0.53727,                 1.4293,             0.00040572,             0.00040572,             0.00040572
                     71,                0.75374,                0.42427,                 1.0309,                0.91914,                0.88834,                0.92822,                0.62812,                 1.2214,                0.51133,                 1.4144,             0.00040529,             0.00040529,             0.00040529
                     72,                0.74075,                 0.4198,                 1.0333,                 0.8767,                0.91591,                0.91857,                0.61757,                 1.2306,                0.53525,                 1.4309,             0.00040485,             0.00040485,             0.00040485
                     73,                0.73215,                0.40987,                 1.0217,                 0.8939,                 0.9145,                0.94457,                0.62991,                 1.2371,                0.52859,                 1.4386,             0.00040442,             0.00040442,             0.00040442
                     74,                0.74767,                0.42288,                 1.0316,                0.91774,                0.86267,                0.93095,                0.61394,                 1.2343,                0.52885,                 1.4565,             0.00040399,             0.00040399,             0.00040399
                     75,                0.72158,                 0.4147,                 1.0204,                0.91914,                0.87826,                0.93121,                0.61889,                 1.2257,                0.54815,                 1.4424,             0.00040356,             0.00040356,             0.00040356
                     76,                0.73258,                0.41911,                 1.0295,                 0.8707,                0.89615,                0.91829,                 0.6158,                 1.2065,                 0.5419,                 1.4071,             0.00040313,             0.00040313,             0.00040313
                     77,                0.71379,                0.40889,                 1.0156,                 0.8957,                0.91156,                0.92679,                0.60928,                 1.2189,                0.54392,                 1.4226,              0.0004027,              0.0004027,              0.0004027
                     78,                 0.7327,                0.41297,                 1.0232,                0.87145,                 0.9206,                 0.9182,                0.60847,                 1.2554,                0.53211,                 1.4489,             0.00040227,             0.00040227,             0.00040227
                     79,                0.72253,                0.40842,                 1.0205,                0.89091,                 0.8961,                0.93063,                0.62949,                 1.2236,                0.53359,                 1.4481,             0.00040184,             0.00040184,             0.00040184
                     80,                0.72459,                0.40729,                 1.0271,                0.89106,                0.92065,                0.93468,                0.63171,                 1.2289,                0.53974,                 1.4413,             0.00040141,             0.00040141,             0.00040141
                     81,                0.71697,                0.41008,                 1.0069,                0.90803,                 0.8993,                0.92618,                 0.6136,                 1.2359,                  0.547,                 1.4366,             0.00040098,             0.00040098,             0.00040098
                     82,                0.71218,                0.40166,                      1,                0.90761,                0.87391,                0.92845,                0.61706,                 1.2202,                0.53692,                 1.4178,             0.00040055,             0.00040055,             0.00040055
                     83,                0.69654,                0.40314,                 1.0046,                0.92076,                0.90841,                0.94652,                0.61895,                 1.2174,                0.52392,                 1.4211,             0.00040012,             0.00040012,             0.00040012
                     84,                0.68825,                0.39859,                 1.0002,                 0.9187,                0.89919,                0.93834,                 0.6069,                 1.2273,                 0.5236,                 1.4393,             0.00039969,             0.00039969,             0.00039969
                     85,                0.69292,                0.40099,                 1.0117,                0.92694,                0.87284,                 0.9336,                0.62388,                 1.2211,                0.54888,                  1.432,             0.00039926,             0.00039926,             0.00039926
                     86,                0.70426,                0.40238,                 1.0112,                0.91582,                0.89741,                0.93008,                0.61558,                 1.2137,                0.53814,                 1.4179,             0.00039883,             0.00039883,             0.00039883
                     87,                 0.7058,                 0.4081,                 1.0158,                0.89331,                0.90349,                0.91571,                0.61806,                 1.2273,                0.52551,                 1.4324,             0.00039839,             0.00039839,             0.00039839
                     88,                0.69749,                0.40626,                 1.0083,                0.87538,                0.88132,                0.89994,                0.60903,                 1.2476,                0.55195,                 1.4653,             0.00039796,             0.00039796,             0.00039796
                     89,                0.69004,                0.39906,                0.99539,                0.86557,                 0.9215,                0.91902,                0.60823,                 1.2716,                0.55715,                 1.4788,             0.00039753,             0.00039753,             0.00039753
                     90,                0.67803,                0.39514,                 1.0035,                0.89926,                 0.8661,                0.90831,                0.60551,                 1.2441,                 0.5337,                 1.4643,              0.0003971,              0.0003971,              0.0003971
                     91,                0.68572,                0.40311,                0.99882,                0.90629,                0.89695,                0.93273,                0.63056,                 1.2263,                0.54708,                  1.427,             0.00039667,             0.00039667,             0.00039667
                     92,                0.66847,                0.38704,                0.98788,                0.91056,                0.89485,                0.93891,                0.62457,                 1.2513,                0.56859,                 1.4728,             0.00039624,             0.00039624,             0.00039624
                     93,                0.67062,                0.39383,                0.98697,                0.87888,                0.90258,                0.93083,                0.62036,                 1.2256,                0.54095,                 1.4523,             0.00039581,             0.00039581,             0.00039581
                     94,                0.67474,                0.39334,                0.98969,                0.90173,                0.89401,                 0.9367,                0.62086,                 1.2215,                0.51974,                 1.4382,             0.00039538,             0.00039538,             0.00039538
                     95,                0.67087,                0.39164,                0.98462,                0.91962,                0.90372,                0.94458,                0.63163,                  1.212,                0.52867,                 1.4451,             0.00039495,             0.00039495,             0.00039495
                     96,                0.66575,                 0.3892,                0.99146,                0.86354,                0.92753,                0.93116,                0.62602,                 1.2219,                0.53554,                 1.4379,             0.00039452,             0.00039452,             0.00039452
                     97,                  0.656,                0.38185,                0.98127,                0.89411,                0.90686,                0.93151,                0.62673,                 1.2317,                 0.5316,                 1.4445,             0.00039409,             0.00039409,             0.00039409
                     98,                0.65876,                0.38297,                0.97573,                0.92743,                0.89369,                0.93014,                0.62658,                 1.2264,                0.52323,                 1.4531,             0.00039366,             0.00039366,             0.00039366
                     99,                0.66979,                0.38727,                0.99545,                0.88576,                0.91274,                0.92736,                0.61649,                 1.2411,                0.52291,                  1.475,             0.00039323,             0.00039323,             0.00039323
                    100,                 0.6667,                0.38989,                0.99233,                0.87182,                0.90994,                0.94075,                0.61453,                 1.2327,                0.52304,                 1.4613,              0.0003928,              0.0003928,              0.0003928
                    101,                0.65412,                0.38075,                0.97998,                0.89222,                0.87726,                0.92209,                 0.6092,                 1.2479,                0.54363,                 1.4807,             0.00039237,             0.00039237,             0.00039237
                    102,                0.66731,                0.38553,                0.99321,                0.88511,                0.87864,                0.93058,                0.61737,                 1.2574,                0.54545,                 1.4872,             0.00039193,             0.00039193,             0.00039193
                    103,                0.65437,                0.38305,                0.98007,                0.90581,                0.85615,                0.91752,                0.60958,                 1.2403,                0.53282,                 1.4813,              0.0003915,              0.0003915,              0.0003915
                    104,                0.64249,                0.37575,                0.97511,                0.88167,                0.90614,                0.93086,                0.61814,                 1.2387,                0.52509,                 1.4643,             0.00039107,             0.00039107,             0.00039107
                    105,                0.63038,                0.37074,                0.97184,                0.89703,                0.90659,                0.93292,                0.61382,                 1.2332,                0.51751,                 1.4723,             0.00039064,             0.00039064,             0.00039064
                    106,                0.62876,                0.37382,                0.97759,                0.89353,                0.91117,                0.92384,                 0.6149,                 1.2332,                0.52061,                 1.4718,             0.00039021,             0.00039021,             0.00039021
                    107,                0.63785,                0.37521,                0.97614,                0.90849,                0.91008,                0.92719,                0.61988,                 1.2221,                0.52098,                  1.475,             0.00038978,             0.00038978,             0.00038978
                    108,                0.63616,                0.37619,                0.98051,                0.88378,                 0.9057,                0.92963,                0.62193,                 1.2202,                0.52127,                 1.4663,             0.00038935,             0.00038935,             0.00038935
                    109,                0.63348,                0.37753,                0.98379,                0.89401,                0.90395,                0.92691,                0.61955,                 1.2168,                0.52711,                  1.448,             0.00038892,             0.00038892,             0.00038892
                    110,                0.64285,                 0.3765,                  0.978,                0.90485,                0.88957,                0.92815,                0.60866,                 1.2373,                0.53623,                 1.4829,             0.00038849,             0.00038849,             0.00038849
                    111,                0.64873,                0.37891,                 0.9792,                0.90867,                0.89473,                0.92265,                0.60702,                 1.2277,                0.53353,                 1.4758,             0.00038806,             0.00038806,             0.00038806
                    112,                0.62397,                0.36904,                0.97806,                0.90285,                  0.891,                0.92948,                0.61628,                 1.2165,                 0.5236,                 1.4823,             0.00038763,             0.00038763,             0.00038763
                    113,                0.62031,                0.37048,                0.96081,                0.91103,                0.88261,                0.92207,                0.61747,                 1.2178,                0.53036,                 1.4667,              0.0003872,              0.0003872,              0.0003872
                    114,                 0.6122,                0.37005,                0.96125,                0.91706,                0.89023,                0.92932,                0.62222,                 1.2378,                0.53637,                 1.4907,             0.00038677,             0.00038677,             0.00038677
                    115,                0.61664,                 0.3636,                 0.9576,                 0.9016,                0.90479,                0.92149,                0.60634,                 1.2469,                0.53448,                 1.5154,             0.00038634,             0.00038634,             0.00038634
                    116,                0.62122,                 0.3629,                0.96697,                0.89234,                0.89073,                0.92264,                0.62123,                 1.2276,                0.52238,                 1.4745,             0.00038591,             0.00038591,             0.00038591
                    117,                0.61068,                0.36468,                0.96393,                0.90232,                0.89178,                0.92011,                0.60649,                 1.2359,                0.51794,                 1.4844,             0.00038548,             0.00038548,             0.00038548
                    118,                0.61477,                 0.3678,                0.96123,                0.88886,                 0.8977,                0.91972,                0.61881,                 1.2218,                0.53539,                  1.478,             0.00038504,             0.00038504,             0.00038504
                    119,                0.61496,                0.36597,                0.96113,                0.86715,                 0.9011,                0.92299,                0.61529,                 1.2246,                0.52684,                 1.4829,             0.00038461,             0.00038461,             0.00038461
                    120,                0.61477,                0.35769,                 0.9632,                0.88728,                0.88424,                0.92502,                0.61282,                 1.2499,                0.53199,                 1.5171,             0.00038418,             0.00038418,             0.00038418
                    121,                0.60879,                 0.3575,                0.96356,                0.90525,                0.91371,                0.92836,                 0.6179,                   1.24,                0.53276,                 1.4961,             0.00038375,             0.00038375,             0.00038375
                    122,                0.60337,                  0.359,                0.96383,                0.90538,                0.91202,                0.92923,                 0.6235,                 1.2188,                0.53628,                 1.4684,             0.00038332,             0.00038332,             0.00038332
                    123,                0.59914,                0.35615,                0.96725,                0.90722,                0.92242,                0.92469,                0.62028,                 1.2224,                0.51776,                 1.4749,             0.00038289,             0.00038289,             0.00038289
                    124,                0.60613,                0.36196,                0.95852,                0.90671,                0.90577,                0.91528,                0.61599,                 1.2389,                0.53356,                 1.5012,             0.00038246,             0.00038246,             0.00038246
                    125,                0.59032,                0.35645,                0.96104,                 0.9051,                0.91482,                0.92612,                 0.6177,                 1.2364,                0.53274,                 1.4911,             0.00038203,             0.00038203,             0.00038203
                    126,                0.60095,                0.36393,                0.95766,                0.88695,                0.92729,                0.92717,                0.62215,                 1.2339,                0.52557,                 1.5025,              0.0003816,              0.0003816,              0.0003816
                    127,                 0.6011,                0.35628,                0.95447,                0.92291,                0.90552,                 0.9266,                0.62195,                 1.2276,                0.53094,                 1.4927,             0.00038117,             0.00038117,             0.00038117
                    128,                0.59494,                0.35871,                0.95403,                0.91203,                0.91144,                0.92614,                0.63633,                 1.2174,                0.51795,                 1.5141,             0.00038074,             0.00038074,             0.00038074
                    129,                0.59181,                 0.3531,                 0.9491,                0.89946,                0.90492,                  0.928,                0.63208,                 1.2165,                0.51718,                 1.5033,             0.00038031,             0.00038031,             0.00038031
                    130,                 0.5767,                 0.3526,                0.94045,                0.91799,                0.90092,                0.92459,                0.62619,                 1.2174,                0.51565,                 1.4901,             0.00037988,             0.00037988,             0.00037988
                    131,                 0.5963,                0.35455,                0.95432,                0.92376,                0.89836,                0.92817,                0.62786,                 1.2246,                0.51117,                 1.5092,             0.00037945,             0.00037945,             0.00037945
                    132,                0.56468,                0.34293,                0.93701,                 0.8982,                 0.9137,                0.92857,                0.62923,                 1.2134,                0.51755,                 1.4994,             0.00037902,             0.00037902,             0.00037902
                    133,                0.57881,                0.35048,                0.94772,                0.92301,                0.88942,                0.93586,                0.63059,                 1.2352,                0.50899,                 1.5059,             0.00037858,             0.00037858,             0.00037858
                    134,                0.57471,                0.34648,                0.94527,                0.88488,                0.92225,                0.92933,                0.61755,                 1.2411,                0.51289,                 1.5224,             0.00037815,             0.00037815,             0.00037815
                    135,                0.60914,                0.36045,                0.96333,                0.88391,                 0.9026,                0.92039,                0.61504,                 1.2701,                0.53052,                 1.5345,             0.00037772,             0.00037772,             0.00037772
                    136,                0.59025,                0.35416,                0.95961,                0.91685,                0.89056,                0.92789,                0.62728,                  1.239,                0.54387,                 1.4966,             0.00037729,             0.00037729,             0.00037729
                    137,                 0.5642,                0.34296,                0.93814,                0.89947,                0.89653,                 0.9212,                0.61755,                 1.2393,                0.53281,                 1.5171,             0.00037686,             0.00037686,             0.00037686
                    138,                0.58124,                0.35269,                0.95144,                 0.9064,                0.88465,                0.92367,                0.62266,                  1.236,                0.53287,                 1.5141,             0.00037643,             0.00037643,             0.00037643
                    139,                0.57365,                0.34397,                0.94236,                0.91683,                0.91038,                0.93146,                0.63169,                 1.2307,                0.51765,                 1.5024,               0.000376,               0.000376,               0.000376
                    140,                0.57255,                0.34715,                 0.9447,                0.89448,                0.91241,                0.92468,                0.62253,                 1.2083,                0.51836,                 1.4936,             0.00037557,             0.00037557,             0.00037557
                    141,                0.56601,                0.33955,                 0.9417,                0.90144,                0.90754,                0.92838,                0.62377,                 1.2055,                0.52155,                 1.4983,             0.00037514,             0.00037514,             0.00037514
                    142,                 0.5651,                0.33933,                0.93231,                0.89994,                0.89342,                0.93164,                0.62114,                 1.2058,                 0.5122,                 1.5174,             0.00037471,             0.00037471,             0.00037471
                    143,                0.56479,                0.33859,                0.93576,                0.90151,                0.89926,                0.93483,                0.63239,                 1.2154,                0.51153,                 1.5152,             0.00037428,             0.00037428,             0.00037428
                    144,                0.55355,                 0.3403,                0.94367,                0.92563,                0.88301,                0.93526,                0.63368,                 1.2197,                0.51778,                 1.5138,             0.00037385,             0.00037385,             0.00037385
